Zfp809.1	1.09E-08	-0.772773165	0.577	0.65	0.000202339	2c-out	Zfp809
Spz1.1	1.34E-08	-0.527802581	0.025	0.226	0.000247102	2c-out	Spz1
Gm5788.1	1.53E-08	-0.674325946	0.135	0.367	0.000282372	2c-out	Gm5788
Gm45551.1	1.85E-08	-0.955379524	0.282	0.5	0.000342685	2c-out	Gm45551
Usp17la.1	1.96E-08	-0.525222845	0.153	0.398	0.000362969	2c-out	Usp17la
Rpl31-ps8.1	2.38E-08	-0.901896364	0.074	0.301	0.000439638	2c-out	Rpl31-ps8
Gm9030.1	2.39E-08	-0.686538094	0.117	0.336	0.000441945	2c-out	Gm9030
Echdc3.1	2.40E-08	-0.642765009	0.049	0.257	0.000443185	2c-out	Echdc3
Gm16478.1	2.48E-08	-0.574753983	0.184	0.416	0.000457439	2c-out	Gm16478
Gm4301.1	2.65E-08	-0.770958831	0.074	0.288	0.000489644	2c-out	Gm4301
Gm9029.1	3.97E-08	-0.612718646	0.117	0.332	0.000734111	2c-out	Gm9029
Vmn1r227.1	4.20E-08	-0.670245439	0.08	0.296	0.000776017	2c-out	Vmn1r227
Gm5117.1	4.29E-08	-0.741771476	0.018	0.204	0.000792775	2c-out	Gm5117
Adcy2.1	4.79E-08	-0.635095788	0.166	0.385	0.000884691	2c-out	Adcy2
4931428L18Rik.1	4.94E-08	-0.833118702	0.215	0.434	0.000913391	2c-out	4931428L18Rik
Gm10324.1	6.01E-08	-0.801798106	0.221	0.425	0.001110501	2c-out	Gm10324
Snw1.1	6.18E-08	-0.853335075	0.791	0.735	0.001141815	2c-out	Snw1
Rps12l1.1	1.11E-07	-0.751330687	0.374	0.593	0.002051778	2c-out	Rps12l1
Mgll.1	1.34E-07	-0.644819956	0.282	0.487	0.002477173	2c-out	Mgll
Gm19428.1	1.35E-07	-0.648070351	0.288	0.491	0.002488745	2c-out	Gm19428
Acta2.1	1.36E-07	-0.754325498	0.613	0.664	0.002505612	2c-out	Acta2
Uimc1.1	1.41E-07	-0.718191073	0.301	0.469	0.002605066	2c-out	Uimc1
Gm9040.1	2.04E-07	-0.909676472	0.117	0.314	0.003765699	2c-out	Gm9040
Atp6v1e1.1	2.16E-07	-0.543751025	0.914	0.77	0.00399174	2c-out	Atp6v1e1
Olfr374.1	2.44E-07	-0.524294259	0.11	0.314	0.004503545	2c-out	Olfr374
Gm28437.1	2.75E-07	-0.661605687	0.994	0.996	0.005080112	2c-out	Gm28437
Dcdc2c.1	2.88E-07	-0.547783433	0.08	0.274	0.005327096	2c-out	Dcdc2c
Rpl27-ps3.1	3.15E-07	-0.644572703	0.239	0.491	0.005814331	2c-out	Rpl27-ps3
Gm29216.1	3.44E-07	-1.206396281	0.374	0.611	0.006363564	2c-out	Gm29216
mt-Cytb.1	3.50E-07	-0.621836862	0.994	0.987	0.006472111	2c-out	mt-Cytb
Phf11a.1	4.86E-07	-0.503109	0.074	0.265	0.008975994	2c-out	Phf11a
Gm5580.1	5.42E-07	-0.605657435	0.055	0.235	0.010014453	2c-out	Gm5580
Gm9843.1	5.69E-07	-0.750709765	0.074	0.279	0.01051015	2c-out	Gm9843
Rps6-ps4.1	6.91E-07	-0.971367719	0.086	0.288	0.012777735	2c-out	Rps6-ps4
Tmem92.1	7.50E-07	-0.62639537	0.399	0.553	0.013864436	2c-out	Tmem92
Gm7536.1	7.97E-07	-0.996733543	0.074	0.265	0.014730322	2c-out	Gm7536
Rpl36a-ps2.1	9.34E-07	-0.561884754	0.018	0.177	0.017266364	2c-out	Rpl36a-ps2
Gm428.1	1.03E-06	-0.679005315	0.153	0.35	0.018997736	2c-out	Gm428
mt-Atp6.1	1.16E-06	-0.587464931	1	1	0.021518279	2c-out	mt-Atp6
Gm6189.1	1.22E-06	-0.563192842	0.086	0.27	0.022487102	2c-out	Gm6189
Gm2000.1	1.51E-06	-0.820116068	0.055	0.23	0.027956505	2c-out	Gm2000
Babam2.1	1.70E-06	-0.733705833	0.583	0.619	0.031474716	2c-out	Babam2
Ate1.1	1.86E-06	-0.677085824	0.337	0.482	0.034333538	2c-out	Ate1
Gm9045.1	1.97E-06	-0.75263463	0.117	0.296	0.036445629	2c-out	Gm9045
mt-Nd4.1	2.55E-06	-0.587381678	0.994	0.978	0.047155217	2c-out	mt-Nd4
Rpl9-ps6.1	3.16E-06	-0.709916545	0.46	0.637	0.058434809	2c-out	Rpl9-ps6
Rps16-ps2.1	3.99E-06	-0.851884889	0.006	0.137	0.073739981	2c-out	Rps16-ps2
Gm49594.1	4.70E-06	-0.615647197	0.037	0.186	0.086915783	2c-out	Gm49594
Rpl28-ps1.1	4.98E-06	-0.666730047	0.104	0.296	0.092017239	2c-out	Rpl28-ps1
Zfp516.1	5.96E-06	-0.550257484	0.202	0.376	0.110216597	2c-out	Zfp516
Olfr787.1	6.34E-06	-0.520617801	0.067	0.23	0.117242631	2c-out	Olfr787
Rpl15-ps3.1	8.10E-06	-0.61550086	0.043	0.19	0.149654124	2c-out	Rpl15-ps3
Rpl6l.1	8.83E-06	-0.699232963	0.025	0.168	0.163125425	2c-out	Rpl6l
Gm13119.1	1.13E-05	-0.857676463	0.466	0.575	0.208607747	2c-out	Gm13119
Rpl10a-ps1.1	1.30E-05	-0.798769057	0.215	0.398	0.240229722	2c-out	Rpl10a-ps1
Lefty1.1	1.41E-05	0.876529973	0.466	0.257	0.261050702	2c-out	Lefty1
2810004N23Rik.1	1.81E-05	-0.562978453	0.81	0.743	0.334837362	2c-out	2810004N23Rik
Micu1.1	1.86E-05	-0.611748533	0.313	0.447	0.3440834	2c-out	Micu1
Gm28661.1	1.91E-05	-0.762296935	0.957	0.934	0.352112917	2c-out	Gm28661
Limch1.1	2.49E-05	-0.636314103	0.245	0.385	0.460274846	2c-out	Limch1
Gm10020.1	2.71E-05	-0.580972375	0.043	0.177	0.500130826	2c-out	Gm10020
Slc27a2.1	2.76E-05	-0.532667049	0.227	0.385	0.510019064	2c-out	Slc27a2
Ddit4l.1	3.74E-05	-0.627525682	0.497	0.584	0.690689827	2c-out	Ddit4l
Rps23-ps1.1	3.84E-05	-0.735600177	0.025	0.15	0.709710309	2c-out	Rps23-ps1
Gm8430.1	4.25E-05	-0.880996248	0.086	0.239	0.78582597	2c-out	Gm8430
mt-Co2.1	4.27E-05	-0.600410054	0.994	0.996	0.788530849	2c-out	mt-Co2
Rpl10-ps1.1	4.48E-05	-0.504618241	0.025	0.146	0.827552817	2c-out	Rpl10-ps1
Rps13-ps2.1	4.72E-05	-0.548625105	0.08	0.226	0.872323991	2c-out	Rps13-ps2
mt-Co3.1	5.12E-05	-0.561488441	0.994	1	0.946376918	2c-out	mt-Co3
Gm8355.1	6.38E-05	-0.543618401	0.074	0.221	1	2c-out	Gm8355
Rps2.1	7.79E-05	-0.777316175	0.528	0.611	1	2c-out	Rps2
1810062G17Rik.1	7.93E-05	-0.511460859	0.08	0.217	1	2c-out	1810062G17Rik
Rpl3-ps1.1	8.33E-05	-0.689369994	0.08	0.226	1	2c-out	Rpl3-ps1
Gm12918.1	9.71E-05	-1.059785484	0.08	0.217	1	2c-out	Gm12918
Fam124a.1	0.000143684	-0.528785985	0.202	0.341	1	2c-out	Fam124a
Zscan4e.1	0.000190404	-0.639169391	0.123	0.265	1	2c-out	Zscan4e
Rps13.1	0.000291487	-0.594489705	0.19	0.332	1	2c-out	Rps13
Gm10925.1	0.000316594	-0.907098296	0.982	0.982	1	2c-out	Gm10925
Rpl17-ps3.1	0.0004045	-0.721020163	0.196	0.345	1	2c-out	Rpl17-ps3
Gm14586.1	0.000690992	-0.633410728	0.049	0.155	1	2c-out	Gm14586
Dcbld1.1	0.000907347	-0.532662055	0.344	0.425	1	2c-out	Dcbld1
Csnk2a1.1	0.001200865	-0.661012327	0.718	0.642	1	2c-out	Csnk2a1
Gm6139.1	0.002226851	-0.503183437	0.055	0.15	1	2c-out	Gm6139
Atpsckmt.1	0.002375865	-0.523645979	0.215	0.323	1	2c-out	Atpsckmt
Hspa1a.1	0.002986901	-0.640613357	0.092	0.195	1	2c-out	Hspa1a
Iars.1	0.003299149	-0.587865316	0.405	0.442	1	2c-out	Iars
Gm5660.1	0.00436124	-0.623106295	0.19	0.292	1	2c-out	Gm5660
Zfp978.1	0.004941975	-0.577969328	0.356	0.416	1	2c-out	Zfp978
Rps2-ps13.1	0.005497792	-0.57719356	0.067	0.155	1	2c-out	Rps2-ps13
Mrpl34	2.60E-25	0.639710318	0.336	0.877	4.81E-21	2c-out	Mrpl34
Ftl1-ps1	3.21E-25	0.540067788	0.991	1	5.93E-21	2c-out	Ftl1-ps1
Chchd10	1.79E-23	0.63776106	0.783	1	3.31E-19	2c-out	Chchd10
Ftl2-ps	2.43E-23	0.63524907	0.885	0.994	4.48E-19	2c-out	Ftl2-ps
Rps27l	6.59E-22	0.502669329	0.881	0.994	1.22E-17	2c-out	Rps27l
Ppdpf	1.05E-21	0.621449473	0.425	0.896	1.95E-17	2c-out	Ppdpf
Eif4ebp1	3.96E-21	0.588725515	0.73	0.969	7.31E-17	2c-out	Eif4ebp1
Atox1	9.73E-21	0.674766881	0.504	0.896	1.80E-16	2c-out	Atox1
Pou5f1	2.87E-20	0.587023733	0.739	0.969	5.30E-16	2c-out	Pou5f1
Erh	3.34E-20	0.574628499	0.761	0.994	6.17E-16	2c-out	Erh
Serf2	4.91E-20	0.528222689	0.841	0.988	9.08E-16	2c-out	Serf2
Mdk	1.57E-19	0.657191542	0.54	0.914	2.89E-15	2c-out	Mdk
Pfn1	2.22E-19	0.549921195	0.792	0.982	4.11E-15	2c-out	Pfn1
Dynlt1b	2.99E-19	0.623772266	0.65	0.933	5.52E-15	2c-out	Dynlt1b
Cks1b	5.85E-19	0.600719271	0.673	0.957	1.08E-14	2c-out	Cks1b
Mkrn1	7.73E-19	0.524609669	0.942	1	1.43E-14	2c-out	Mkrn1
Mcl1	2.98E-18	0.534954018	0.305	0.779	5.52E-14	2c-out	Mcl1
Nhp2	3.05E-18	0.513633779	0.752	0.975	5.63E-14	2c-out	Nhp2
Dtymk	4.06E-18	0.510879306	0.447	0.865	7.51E-14	2c-out	Dtymk
Mlf2	4.83E-18	0.527218858	0.513	0.89	8.92E-14	2c-out	Mlf2
Avpi1	7.23E-18	0.6961406	0.695	0.988	1.34E-13	2c-out	Avpi1
Srrm1	1.80E-17	0.533055288	0.261	0.699	3.33E-13	2c-out	Srrm1
Slc2a3	2.53E-17	0.587924248	0.323	0.755	4.69E-13	2c-out	Slc2a3
Lsm4	2.91E-17	0.534888628	0.412	0.847	5.37E-13	2c-out	Lsm4
Atp5g1	7.91E-17	0.517607976	0.761	0.969	1.46E-12	2c-out	Atp5g1
Tmsb10	1.87E-16	0.510928002	0.841	0.982	3.46E-12	2c-out	Tmsb10
Gm21988	1.01E-15	0.507393592	0.478	0.865	1.87E-11	2c-out	Gm21988
Hmgb1	4.14E-14	0.528629274	0.765	0.957	7.65E-10	2c-out	Hmgb1
Gabarapl2	3.16E-13	0.61465571	0.655	0.975	5.83E-09	2c-out	Gabarapl2
Gpx4	1.94E-11	0.64253702	0.894	0.994	3.59E-07	2c-out	Gpx4
